"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1400000US36001000404","Census Tract 4.04, Albany County, New York","-","**"
"1400000US36001014700","Census Tract 147, Albany County, New York","-","**"
"1400000US36003940200","Census Tract 9402, Allegany County, New York","-","**"
"1400000US36005000100","Census Tract 1, Bronx County, New York","-","**"
"1400000US36005002400","Census Tract 24, Bronx County, New York","-","**"
"1400000US36005011000","Census Tract 110, Bronx County, New York","-","**"
"1400000US36005016300","Census Tract 163, Bronx County, New York","-","**"
"1400000US36005017100","Census Tract 171, Bronx County, New York","-","**"
"1400000US36005024900","Census Tract 249, Bronx County, New York","-","**"
"1400000US36005027600","Census Tract 276, Bronx County, New York","-","**"
"1400000US36005028400","Census Tract 284, Bronx County, New York","-","**"
"1400000US36005031900","Census Tract 319, Bronx County, New York","-","**"
"1400000US36005033400","Census Tract 334, Bronx County, New York","-","**"
"1400000US36009940000","Census Tract 9400, Cattaraugus County, New York","-","**"
"1400000US36009940200","Census Tract 9402, Cattaraugus County, New York","-","**"
"1400000US36011990200","Census Tract 9902, Cayuga County, New York","-","**"
"1400000US36013035902","Census Tract 359.02, Chautauqua County, New York","-","**"
"1400000US36013990000","Census Tract 9900, Chautauqua County, New York","-","**"
"1400000US36015000300","Census Tract 3, Chemung County, New York","-","**"
"1400000US36019101100","Census Tract 1011, Clinton County, New York","-","**"
"1400000US36025970900","Census Tract 9709, Delaware County, New York","-","**"
"1400000US36027190101","Census Tract 1901.01, Dutchess County, New York","-","**"
"1400000US36027610000","Census Tract 6100, Dutchess County, New York","-","**"
"1400000US36027640001","Census Tract 6400.01, Dutchess County, New York","-","**"
"1400000US36029004602","Census Tract 46.02, Erie County, New York","-","**"
"1400000US36029006201","Census Tract 62.01, Erie County, New York","-","**"
"1400000US36029009110","Census Tract 91.10, Erie County, New York","-","**"
"1400000US36029009113","Census Tract 91.13, Erie County, New York","-","**"
"1400000US36029013502","Census Tract 135.02, Erie County, New York","-","**"
"1400000US36029014206","Census Tract 142.06, Erie County, New York","-","**"
"1400000US36029014208","Census Tract 142.08, Erie County, New York","-","**"
"1400000US36029014904","Census Tract 149.04, Erie County, New York","-","**"
"1400000US36029016100","Census Tract 161, Erie County, New York","-","**"
"1400000US36029940100","Census Tract 9401, Erie County, New York","-","**"
"1400000US36029990000","Census Tract 9900, Erie County, New York","-","**"
"1400000US36037940100","Census Tract 9401, Genesee County, New York","-","**"
"1400000US36039080800","Census Tract 808, Greene County, New York","-","**"
"1400000US36045980000","Census Tract 9800, Jefferson County, New York","-","**"
"1400000US36045990001","Census Tract 9900.01, Jefferson County, New York","-","**"
"1400000US36047001800","Census Tract 18, Kings County, New York","-","**"
"1400000US36047008600","Census Tract 86, Kings County, New York","-","**"
"1400000US36047015400","Census Tract 154, Kings County, New York","-","**"
"1400000US36047017500","Census Tract 175, Kings County, New York","-","**"
"1400000US36047017700","Census Tract 177, Kings County, New York","-","**"
"1400000US36047040700","Census Tract 407, Kings County, New York","-","**"
"1400000US36047056200","Census Tract 562, Kings County, New York","-","**"
"1400000US36047061600","Census Tract 616, Kings County, New York","-","**"
"1400000US36047063600","Census Tract 636, Kings County, New York","-","**"
"1400000US36047066600","Census Tract 666, Kings County, New York","-","**"
"1400000US36047070202","Census Tract 702.02, Kings County, New York","-","**"
"1400000US36047070203","Census Tract 702.03, Kings County, New York","-","**"
"1400000US36047085200","Census Tract 852, Kings County, New York","-","**"
