"GEO_ID","NAME","B25105_001E","B25105_001M"
"id","Geographic Area Name","Estimate!!Median monthly housing costs","Margin of Error!!Median monthly housing costs"
"1400000US36001000404","Census Tract 4.04, Albany County, New York","-","**"
"1400000US36003940200","Census Tract 9402, Allegany County, New York","-","**"
"1400000US36005000100","Census Tract 1, Bronx County, New York","-","**"
"1400000US36005002400","Census Tract 24, Bronx County, New York","-","**"
"1400000US36005011000","Census Tract 110, Bronx County, New York","-","**"
"1400000US36005016300","Census Tract 163, Bronx County, New York","-","**"
"1400000US36005017100","Census Tract 171, Bronx County, New York","-","**"
"1400000US36005024900","Census Tract 249, Bronx County, New York","-","**"
"1400000US36005027600","Census Tract 276, Bronx County, New York","-","**"
"1400000US36005031900","Census Tract 319, Bronx County, New York","-","**"
"1400000US36009940200","Census Tract 9402, Cattaraugus County, New York","-","**"
"1400000US36011990200","Census Tract 9902, Cayuga County, New York","-","**"
"1400000US36013990000","Census Tract 9900, Chautauqua County, New York","-","**"
"1400000US36015000300","Census Tract 3, Chemung County, New York","-","**"
"1400000US36019101100","Census Tract 1011, Clinton County, New York","-","**"
"1400000US36025970900","Census Tract 9709, Delaware County, New York","-","**"
"1400000US36027610000","Census Tract 6100, Dutchess County, New York","-","**"
"1400000US36027640001","Census Tract 6400.01, Dutchess County, New York","-","**"
"1400000US36029004602","Census Tract 46.02, Erie County, New York","-","**"
"1400000US36029006201","Census Tract 62.01, Erie County, New York","-","**"
"1400000US36029009110","Census Tract 91.10, Erie County, New York","-","**"
"1400000US36029014904","Census Tract 149.04, Erie County, New York","-","**"
"1400000US36029940100","Census Tract 9401, Erie County, New York","-","**"
"1400000US36029990000","Census Tract 9900, Erie County, New York","-","**"
"1400000US36039080800","Census Tract 808, Greene County, New York","-","**"
"1400000US36045980000","Census Tract 9800, Jefferson County, New York","-","**"
"1400000US36045990001","Census Tract 9900.01, Jefferson County, New York","-","**"
"1400000US36047001800","Census Tract 18, Kings County, New York","-","**"
"1400000US36047008600","Census Tract 86, Kings County, New York","-","**"
"1400000US36047015400","Census Tract 154, Kings County, New York","-","**"
"1400000US36047017500","Census Tract 175, Kings County, New York","-","**"
"1400000US36047017700","Census Tract 177, Kings County, New York","-","**"
"1400000US36047040700","Census Tract 407, Kings County, New York","-","**"
"1400000US36047066600","Census Tract 666, Kings County, New York","-","**"
"1400000US36047070202","Census Tract 702.02, Kings County, New York","-","**"
"1400000US36047070203","Census Tract 702.03, Kings County, New York","-","**"
"1400000US36047085200","Census Tract 852, Kings County, New York","-","**"
"1400000US36047096000","Census Tract 960, Kings County, New York","-","**"
"1400000US36047118000","Census Tract 1180, Kings County, New York","-","**"
"1400000US36047990100","Census Tract 9901, Kings County, New York","-","**"
"1400000US36051030500","Census Tract 305, Livingston County, New York","-","**"
"1400000US36051031000","Census Tract 310, Livingston County, New York","-","**"
"1400000US36055003802","Census Tract 38.02, Monroe County, New York","-","**"
"1400000US36055980000","Census Tract 9800, Monroe County, New York","-","**"
"1400000US36055990000","Census Tract 9900, Monroe County, New York","-","**"
"1400000US36059300100","Census Tract 3001, Nassau County, New York","4,000+","***"
"1400000US36059301700","Census Tract 3017, Nassau County, New York","4,000+","***"
"1400000US36059302502","Census Tract 3025.02, Nassau County, New York","4,000+","***"
"1400000US36059980100","Census Tract 9801, Nassau County, New York","-","**"
"1400000US36059981100","Census Tract 9811, Nassau County, New York","-","**"
"1400000US36059982100","Census Tract 9821, Nassau County, New York","-","**"
"1400000US36059990100","Census Tract 9901, Nassau County, New York","-","**"
"1400000US36059990200","Census Tract 9902, Nassau County, New York","-","**"
"1400000US36059990301","Census Tract 9903.01, Nassau County, New York","-","**"
"1400000US36059990302","Census Tract 9903.02, Nassau County, New York","-","**"
"1400000US36059990400","Census Tract 9904, Nassau County, New York","-","**"
