"GEO_ID","NAME","H002001","H002002","H002003","H002004","H002005","H002006"
"id","Geographic Area Name","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file"
"1400000US36077591000","Census Tract 5910, Otsego County, New York","1549","1549","0","1549","0","0"
"1400000US36077591200","Census Tract 5912, Otsego County, New York","434","434","0","434","0","0"
"1400000US36077591300","Census Tract 5913, Otsego County, New York","16","16","0","16","0","0"
"1400000US36007001200","Census Tract 12, Broome County, New York","984","984","984","0","0","0"
"1400000US36047037300","Census Tract 373, Kings County, New York","1641","1641","1641","0","0","0"
"1400000US36047024100","Census Tract 241, Kings County, New York","1052","1052","1052","0","0","0"
"1400000US36119002700","Census Tract 27, Westchester County, New York","1393","1393","1393","0","0","0"
"1400000US36111954700","Census Tract 9547, Ulster County, New York","1264","48","0","48","1216","0"
"1400000US36047096400","Census Tract 964, Kings County, New York","821","821","821","0","0","0"
"1400000US36119984000","Census Tract 9840, Westchester County, New York","19","19","19","0","0","0"
"1400000US36081040300","Census Tract 403, Queens County, New York","1722","1722","1722","0","0","0"
"1400000US36055010400","Census Tract 104, Monroe County, New York","2292","2292","2292","0","0","0"
"1400000US36081065703","Census Tract 657.03, Queens County, New York","1101","1101","1101","0","0","0"
"1400000US36081006201","Census Tract 62.01, Queens County, New York","2964","2964","2964","0","0","0"
"1400000US36043010100","Census Tract 101, Herkimer County, New York","2723","0","0","0","2723","0"
"1400000US36047028700","Census Tract 287, Kings County, New York","1154","1154","1154","0","0","0"
"1400000US36055010601","Census Tract 106.01, Monroe County, New York","1233","1233","1233","0","0","0"
"1400000US36089491200","Census Tract 4912, St. Lawrence County, New York","19","19","0","19","0","0"
"1400000US36119003600","Census Tract 36, Westchester County, New York","1696","1696","1696","0","0","0"
"1400000US36047048600","Census Tract 486, Kings County, New York","956","956","956","0","0","0"
"1400000US36103159602","Census Tract 1596.02, Suffolk County, New York","1733","1636","1636","0","97","0"
"1400000US36013036901","Census Tract 369.01, Chautauqua County, New York","1339","0","0","0","1339","0"
"1400000US36103123201","Census Tract 1232.01, Suffolk County, New York","755","755","755","0","0","0"
"1400000US36057070700","Census Tract 707, Montgomery County, New York","1234","1234","0","1234","0","0"
"1400000US36119002203","Census Tract 22.03, Westchester County, New York","1153","1153","1153","0","0","0"
"1400000US36061019702","Census Tract 197.02, New York County, New York","1144","1144","1144","0","0","0"
"1400000US36005036502","Census Tract 365.02, Bronx County, New York","790","790","790","0","0","0"
"1400000US36047014300","Census Tract 143, Kings County, New York","1535","1535","1535","0","0","0"
"1400000US36075021200","Census Tract 212, Oswego County, New York","2801","344","55","289","2457","0"
"1400000US36103134906","Census Tract 1349.06, Suffolk County, New York","2208","2208","2208","0","0","0"
"1400000US36081027500","Census Tract 275, Queens County, New York","2196","2196","2196","0","0","0"
"1400000US36061007400","Census Tract 74, New York County, New York","2955","2955","2955","0","0","0"
"1400000US36119001505","Census Tract 15.05, Westchester County, New York","1142","1142","1142","0","0","0"
"1400000US36103111504","Census Tract 1115.04, Suffolk County, New York","466","466","466","0","0","0"
"1400000US36005009800","Census Tract 98, Bronx County, New York","1806","1806","1806","0","0","0"
"1400000US36081021600","Census Tract 216, Queens County, New York","1947","1947","1947","0","0","0"
"1400000US36059301101","Census Tract 3011.01, Nassau County, New York","2597","2597","2597","0","0","0"
"1400000US36005036400","Census Tract 364, Bronx County, New York","935","935","935","0","0","0"
"1400000US36063023300","Census Tract 233, Niagara County, New York","3386","3386","3386","0","0","0"
"1400000US36047101000","Census Tract 1010, Kings County, New York","780","780","780","0","0","0"
"1400000US36083052303","Census Tract 523.03, Rensselaer County, New York","528","528","528","0","0","0"
"1400000US36065021500","Census Tract 215, Oneida County, New York","1047","1047","1047","0","0","0"
"1400000US36059303102","Census Tract 3031.02, Nassau County, New York","1378","1378","1378","0","0","0"
"1400000US36061027500","Census Tract 275, New York County, New York","1584","1584","1584","0","0","0"
"1400000US36081077908","Census Tract 779.08, Queens County, New York","1407","1407","1407","0","0","0"
"1400000US36081003900","Census Tract 39, Queens County, New York","489","489","489","0","0","0"
"1400000US36093021600","Census Tract 216, Schenectady County, New York","1608","1608","1608","0","0","0"
"1400000US36103146404","Census Tract 1464.04, Suffolk County, New York","1020","1020","1020","0","0","0"
"1400000US36005015300","Census Tract 153, Bronx County, New York","1494","1494","1494","0","0","0"
"1400000US36055990000","Census Tract 9900, Monroe County, New York","0","0","0","0","0","0"
"1400000US36047023300","Census Tract 233, Kings County, New York","1927","1927","1927","0","0","0"
"1400000US36065022702","Census Tract 227.02, Oneida County, New York","1727","1101","0","1101","626","0"
"1400000US36047013900","Census Tract 139, Kings County, New York","1612","1612","1612","0","0","0"
"1400000US36067010100","Census Tract 101, Onondaga County, New York","1203","1049","1049","0","154","0"
"1400000US36081025100","Census Tract 251, Queens County, New York","2496","2496","2496","0","0","0"
"1400000US36051030900","Census Tract 309, Livingston County, New York","1463","1463","0","1463","0","0"
"1400000US36005008900","Census Tract 89, Bronx County, New York","1207","1207","1207","0","0","0"
"1400000US36045060804","Census Tract 608.04, Jefferson County, New York","1672","1622","1622","0","50","0"
"1400000US36029003302","Census Tract 33.02, Erie County, New York","1836","1836","1836","0","0","0"
"1400000US36011990200","Census Tract 9902, Cayuga County, New York","0","0","0","0","0","0"
"1400000US36059517902","Census Tract 5179.02, Nassau County, New York","1322","1322","1322","0","0","0"
"1400000US36055014301","Census Tract 143.01, Monroe County, New York","1472","1472","1472","0","0","0"
"1400000US36021001500","Census Tract 15, Columbia County, New York","814","0","0","0","814","0"
"1400000US36063024303","Census Tract 243.03, Niagara County, New York","2292","297","297","0","1995","0"
"1400000US36119003300","Census Tract 33, Westchester County, New York","1376","1376","1376","0","0","0"
"1400000US36119004500","Census Tract 45, Westchester County, New York","785","785","785","0","0","0"
"1400000US36081018502","Census Tract 185.02, Queens County, New York","1589","1589","1589","0","0","0"
"1400000US36017971000","Census Tract 9710, Chenango County, New York","1768","0","0","0","1768","0"
"1400000US36055013800","Census Tract 138, Monroe County, New York","2486","2486","2486","0","0","0"
"1400000US36029010103","Census Tract 101.03, Erie County, New York","1846","1846","1846","0","0","0"
"1400000US36015010200","Census Tract 102, Chemung County, New York","2528","418","418","0","2110","0"
"1400000US36093033400","Census Tract 334, Schenectady County, New York","920","920","920","0","0","0"
"1400000US36067012400","Census Tract 124, Onondaga County, New York","1748","1748","1748","0","0","0"
"1400000US36089492300","Census Tract 4923, St. Lawrence County, New York","3908","0","0","0","3908","0"
"1400000US36119000203","Census Tract 2.03, Westchester County, New York","1596","1596","1596","0","0","0"
"1400000US36005012901","Census Tract 129.01, Bronx County, New York","1519","1519","1519","0","0","0"
"1400000US36027140101","Census Tract 1401.01, Dutchess County, New York","1376","1376","1376","0","0","0"
"1400000US36047055500","Census Tract 555, Kings County, New York","2290","2290","2290","0","0","0"
"1400000US36047028800","Census Tract 288, Kings County, New York","1273","1273","1273","0","0","0"
"1400000US36087011200","Census Tract 112, Rockland County, New York","2150","2150","2150","0","0","0"
"1400000US36005021200","Census Tract 212, Bronx County, New York","2318","2318","2318","0","0","0"
"1400000US36055014602","Census Tract 146.02, Monroe County, New York","2053","1450","1450","0","603","0"
"1400000US36067014800","Census Tract 148, Onondaga County, New York","1242","1186","1186","0","56","0"
"1400000US36093020101","Census Tract 201.01, Schenectady County, New York","1269","1269","1269","0","0","0"
"1400000US36047049700","Census Tract 497, Kings County, New York","1455","1455","1455","0","0","0"
"1400000US36081062300","Census Tract 623, Queens County, New York","801","801","801","0","0","0"
"1400000US36059517000","Census Tract 5170, Nassau County, New York","1328","1328","1328","0","0","0"
"1400000US36047082600","Census Tract 826, Kings County, New York","2069","2069","2069","0","0","0"
"1400000US36053940300","Census Tract 9403, Madison County, New York","2467","2212","0","2212","255","0"
"1400000US36007013301","Census Tract 133.01, Broome County, New York","2472","2454","2454","0","18","0"
"1400000US36019101600","Census Tract 1016, Clinton County, New York","685","685","0","685","0","0"
"1400000US36085018701","Census Tract 187.01, Richmond County, New York","662","662","662","0","0","0"
"1400000US36047022400","Census Tract 224, Kings County, New York","1451","1451","1451","0","0","0"
"1400000US36047030500","Census Tract 305, Kings County, New York","2465","2465","2465","0","0","0"
"1400000US36119008302","Census Tract 83.02, Westchester County, New York","2539","2538","2538","0","1","0"
"1400000US36005021800","Census Tract 218, Bronx County, New York","2409","2409","2409","0","0","0"
"1400000US36047008000","Census Tract 80, Kings County, New York","1299","1299","1299","0","0","0"
"1400000US36005001900","Census Tract 19, Bronx County, New York","606","606","606","0","0","0"
"1400000US36027060301","Census Tract 603.01, Dutchess County, New York","1635","1635","1635","0","0","0"
"1400000US36047044800","Census Tract 448, Kings County, New York","882","882","882","0","0","0"
"1400000US36071012900","Census Tract 129, Orange County, New York","1292","1292","1292","0","0","0"
"1400000US36061016900","Census Tract 169, New York County, New York","4793","4793","4793","0","0","0"
"1400000US36113070601","Census Tract 706.01, Warren County, New York","2797","2193","2193","0","604","0"
"1400000US36019101100","Census Tract 1011, Clinton County, New York","13","13","0","13","0","0"
"1400000US36121970800","Census Tract 9708, Wyoming County, New York","1416","0","0","0","1416","0"
"1400000US36093020200","Census Tract 202, Schenectady County, New York","1227","1227","1227","0","0","0"
"1400000US36081048100","Census Tract 481, Queens County, New York","2399","2399","2399","0","0","0"
"1400000US36029014901","Census Tract 149.01, Erie County, New York","1173","0","0","0","1173","0"
"1400000US36099950500","Census Tract 9505, Seneca County, New York","1590","1289","0","1289","301","0"
"1400000US36071015100","Census Tract 151, Orange County, New York","2415","2415","2415","0","0","0"
"1400000US36063021000","Census Tract 210, Niagara County, New York","1462","1462","1462","0","0","0"
"1400000US36087010701","Census Tract 107.01, Rockland County, New York","1312","1312","1312","0","0","0"
"1400000US36085004000","Census Tract 40, Richmond County, New York","4524","4524","4524","0","0","0"
"1400000US36103122706","Census Tract 1227.06, Suffolk County, New York","1314","1314","1314","0","0","0"
"1400000US36049950300","Census Tract 9503, Lewis County, New York","3381","1426","0","1426","1955","0"
"1400000US36047004500","Census Tract 45, Kings County, New York","1740","1740","1740","0","0","0"
"1400000US36047000100","Census Tract 1, Kings County, New York","2348","2348","2348","0","0","0"
"1400000US36119002300","Census Tract 23, Westchester County, New York","1430","1430","1430","0","0","0"
"1400000US36105950400","Census Tract 9504, Sullivan County, New York","2003","0","0","0","2003","0"
"1400000US36061021400","Census Tract 214, New York County, New York","1967","1967","1967","0","0","0"
"1400000US36047024700","Census Tract 247, Kings County, New York","1088","1088","1088","0","0","0"
"1400000US36081001900","Census Tract 19, Queens County, New York","1293","1293","1293","0","0","0"
"1400000US36119001200","Census Tract 12, Westchester County, New York","1686","1686","1686","0","0","0"
"1400000US36063020700","Census Tract 207, Niagara County, New York","1221","1221","1221","0","0","0"
"1400000US36011040900","Census Tract 409, Cayuga County, New York","1828","0","0","0","1828","0"
"1400000US36075021605","Census Tract 216.05, Oswego County, New York","1664","1664","0","1664","0","0"
"1400000US36119013201","Census Tract 132.01, Westchester County, New York","1288","1226","1226","0","62","0"
"1400000US36067016001","Census Tract 160.01, Onondaga County, New York","1369","173","173","0","1196","0"
"1400000US36067013300","Census Tract 133, Onondaga County, New York","1211","1211","1211","0","0","0"
"1400000US36029006301","Census Tract 63.01, Erie County, New York","2451","2451","2451","0","0","0"
"1400000US36065026700","Census Tract 267, Oneida County, New York","3123","1035","0","1035","2088","0"
"1400000US36029009106","Census Tract 91.06, Erie County, New York","1203","910","910","0","293","0"
"1400000US36005043100","Census Tract 431, Bronx County, New York","3551","3551","3551","0","0","0"
"1400000US36059405900","Census Tract 4059, Nassau County, New York","1696","1696","1696","0","0","0"
"1400000US36119985000","Census Tract 9850, Westchester County, New York","0","0","0","0","0","0"
"1400000US36047074200","Census Tract 742, Kings County, New York","998","998","998","0","0","0"
"1400000US36061002201","Census Tract 22.01, New York County, New York","2806","2806","2806","0","0","0"
"1400000US36087012402","Census Tract 124.02, Rockland County, New York","1464","1464","1464","0","0","0"
"1400000US36103158408","Census Tract 1584.08, Suffolk County, New York","1621","1621","1621","0","0","0"
"1400000US36059518300","Census Tract 5183, Nassau County, New York","1977","1977","1977","0","0","0"
"1400000US36081035100","Census Tract 351, Queens County, New York","1581","1581","1581","0","0","0"
"1400000US36047047000","Census Tract 470, Kings County, New York","797","797","797","0","0","0"
"1400000US36001000300","Census Tract 3, Albany County, New York","3041","3041","3041","0","0","0"
"1400000US36081071305","Census Tract 713.05, Queens County, New York","2538","2538","2538","0","0","0"
"1400000US36013036700","Census Tract 367, Chautauqua County, New York","1900","0","0","0","1900","0"
"1400000US36081004001","Census Tract 40.01, Queens County, New York","724","724","724","0","0","0"
"1400000US36085020804","Census Tract 208.04, Richmond County, New York","2029","2029","2029","0","0","0"
"1400000US36027070301","Census Tract 703.01, Dutchess County, New York","2568","2142","2142","0","426","0"
"1400000US36081112300","Census Tract 1123, Queens County, New York","868","868","868","0","0","0"
