id,Geographic Area Name,Total population,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Households below poverty level (12 months),Median household income (2018 inflation adjusted),Households receiving food stamps (12 months),Families,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Hispanic or Latino,white_pop_%,black_pop_%,native_american_pop_%,asian_pop_%,other_race_%,hispanic_pop_%,%_owner_housing,%_rental_housing
1400000US36001000100,"Census Tract 1, Albany County, New York",2022,33.6,86.0,71.2,837,216,621,253,29063.0,169,438,473,1167,88,54,21,412,0.23392680514342234,0.5771513353115727,0.043521266073194856,0.026706231454005934,0.010385756676557863,0.20375865479723046,0.25806451612903225,0.7419354838709677
1400000US36001000200,"Census Tract 2, Albany County, New York",4700,30.7,75.5,42.0,2133,408,1725,688,29470.0,507,978,621,3583,0,73,0,268,0.1321276595744681,0.762340425531915,0.0,0.015531914893617021,0.0,0.05702127659574468,0.19127988748241911,0.8087201125175809
1400000US36001000300,"Census Tract 3, Albany County, New York",5966,37.2,88.5,64.6,2480,914,1566,572,37296.0,315,1201,2525,1926,17,625,238,628,0.4232316459939658,0.3228293664096547,0.0028494803888702647,0.10476030841434797,0.03989272544418371,0.10526315789473684,0.3685483870967742,0.6314516129032258
1400000US36001000401,"Census Tract 4.01, Albany County, New York",2479,65.2,58.3,137.9,1029,673,356,60,75809.0,0,441,2133,233,15,68,8,127,0.8604275917708754,0.09398951189995966,0.0060508269463493344,0.02743041549011698,0.003227107704719645,0.051230334812424366,0.6540330417881438,0.3459669582118562
1400000US36001000403,"Census Tract 4.03, Albany County, New York",4236,37.4,101.1,39.1,2172,1144,1028,306,70488.0,136,863,3108,484,24,200,104,366,0.7337110481586402,0.11425873465533522,0.0056657223796034,0.047214353163361665,0.024551463644948063,0.08640226628895184,0.5267034990791897,0.4732965009208103
1400000US36001000404,"Census Tract 4.04, Albany County, New York",5090,19.7,89.2,1.8,5,5,0,0,,0,0,3226,961,0,382,334,934,0.6337917485265226,0.18880157170923378,0.0,0.075049115913556,0.0656188605108055,0.18349705304518665,1.0,0.0
1400000US36001000501,"Census Tract 5.01, Albany County, New York",3215,34.0,75.1,55.5,1403,313,1090,437,31480.0,374,516,1764,1151,0,118,86,783,0.5486780715396579,0.35800933125972006,0.0,0.03670295489891135,0.026749611197511663,0.24354587869362365,0.22309337134711332,0.7769066286528866
1400000US36001000502,"Census Tract 5.02, Albany County, New York",3594,20.9,72.3,14.6,862,336,526,112,55769.0,34,276,2459,627,7,305,89,340,0.6841958820255982,0.17445742904841402,0.0019476905954368391,0.08486366165831942,0.02476349471341124,0.09460211463550362,0.38979118329466356,0.6102088167053364
1400000US36001000600,"Census Tract 6, Albany County, New York",3707,24.6,94.3,38.1,1413,171,1242,532,30026.0,350,547,1536,1217,13,275,322,687,0.4143512274076072,0.32829781494469923,0.003506878877798759,0.07418397626112759,0.0868626922039385,0.18532506069598056,0.12101910828025478,0.8789808917197452
1400000US36001000700,"Census Tract 7, Albany County, New York",3810,29.7,88.7,64.8,1448,381,1067,469,31558.0,271,809,682,2829,34,43,23,402,0.17900262467191602,0.74251968503937,0.008923884514435695,0.011286089238845144,0.006036745406824147,0.10551181102362205,0.26312154696132595,0.736878453038674
1400000US36001000800,"Census Tract 8, Albany County, New York",2122,27.3,75.8,96.8,828,125,703,365,20076.0,304,389,380,1491,0,0,49,446,0.17907634307257306,0.7026390197926484,0.0,0.0,0.023091423185673893,0.21017907634307256,0.15096618357487923,0.8490338164251208
1400000US36001001100,"Census Tract 11, Albany County, New York",1542,48.0,119.0,34.0,845,77,768,255,27604.0,194,117,741,590,0,124,24,70,0.4805447470817121,0.38261997405966275,0.0,0.08041504539559015,0.01556420233463035,0.04539559014267185,0.09112426035502959,0.9088757396449704
1400000US36001001400,"Census Tract 14, Albany County, New York",3990,30.8,111.0,18.6,2811,275,2536,466,44790.0,90,422,2693,771,0,365,36,304,0.674937343358396,0.19323308270676692,0.0,0.09147869674185463,0.009022556390977444,0.0761904761904762,0.09782995375311278,0.9021700462468872
1400000US36001001500,"Census Tract 15, Albany County, New York",4533,27.4,125.6,27.4,2192,290,1902,542,30338.0,147,654,3058,479,0,510,337,555,0.6746084270902272,0.1056695345245974,0.0,0.11250827266710788,0.0743437017427752,0.12243547319655856,0.1322992700729927,0.8677007299270073
1400000US36001001600,"Census Tract 16, Albany County, New York",4265,26.3,105.9,24.1,1900,720,1180,471,50990.0,49,600,3280,280,0,475,48,248,0.7690504103165299,0.06565064478311841,0.0,0.11137162954279015,0.011254396248534583,0.058147713950762014,0.37894736842105264,0.6210526315789474
